Plot Title: Sileza camp,,,,,,
#,Date Time,Rainfall (mm)  #20102559,Coupler Detached,Coupler Attached,Host Connected,End Of File
237,21/06/10 06:18:15.0,57.912,,,,
238,21/06/10 06:19:50.0,58.166,,,,
239,21/06/10 06:21:11.0,58.42,,,,
240,21/06/10 06:21:57.0,58.674,,,,
241,21/06/10 06:22:44.0,58.928,,,,
242,21/06/10 06:23:48.0,59.182,,,,
243,21/06/10 06:24:38.0,59.436,,,,
244,21/06/10 06:24:58.0,59.69,,,,
245,21/06/10 06:25:22.0,59.944,,,,
246,21/06/10 06:26:10.0,60.198,,,,
247,21/06/10 06:26:47.0,60.452,,,,
248,21/06/10 06:27:58.0,60.706,,,,
249,21/06/10 06:30:02.0,60.96,,,,
250,21/06/10 06:31:44.0,61.214,,,,
251,21/06/10 06:33:04.0,61.468,,,,
252,21/06/10 06:34:23.0,61.722,,,,
253,21/06/10 06:35:26.0,61.976,,,,
254,21/06/10 06:36:20.0,62.23,,,,
255,21/06/10 06:37:31.0,62.484,,,,
256,21/06/10 06:39:49.0,62.738,,,,
257,21/06/10 06:42:42.0,62.992,,,,
258,21/06/10 06:50:16.0,63.246,,,,
259,21/06/15 11:35:48.0,,,Logged,,
260,21/06/15 11:36:04.0,,,,Logged,
261,21/06/15 11:39:04.0,,Logged,,,
262,21/07/21 10:24:08.0,,,Logged,,
263,21/07/21 10:24:12.0,,,,Logged,
264,21/07/21 10:24:17.0,,,,Logged,
265,21/07/21 10:24:22.0,,,,Logged,
266,21/07/21 10:25:08.0,,Logged,,,
267,21/07/25 12:28:58.0,63.5,,,,
268,21/07/25 12:57:21.0,63.754,,,,
269,21/07/25 14:55:22.0,64.008,,,,
270,21/08/03 00:07:38.0,64.262,,,,
271,21/08/03 00:13:10.0,64.516,,,,
272,21/08/03 02:09:35.0,64.77,,,,
273,21/08/03 02:12:21.0,65.024,,,,
274,21/08/03 02:25:01.0,65.278,,,,
275,21/08/11 09:28:10.0,,,Logged,,
276,21/08/11 09:28:18.0,,,,Logged,
277,21/08/11 09:29:34.0,,Logged,,,
278,21/08/28 17:28:09.0,65.532,,,,
279,21/08/29 08:05:54.0,65.786,,,,
280,21/09/07 10:38:37.0,66.04,,,,
281,21/09/07 10:52:58.0,66.294,,,,
282,21/09/07 14:44:14.0,66.548,,,,
283,21/09/07 22:53:53.0,66.802,,,,
284,21/09/08 00:16:23.0,67.056,,,,
285,21/09/08 00:41:47.0,67.31,,,,
286,21/09/08 01:08:58.0,67.564,,,,
287,21/09/08 03:33:09.0,67.818,,,,
288,21/09/08 06:19:49.0,68.072,,,,
289,21/09/08 07:24:00.0,68.326,,,,
290,21/09/08 07:33:37.0,68.58,,,,
291,21/09/08 09:01:19.0,68.834,,,,
292,21/09/14 08:44:02.0,,,Logged,,
293,21/09/14 08:44:13.0,,,,Logged,
294,21/09/14 08:46:03.0,,Logged,,,
295,21/09/16 18:35:17.0,69.088,,,,
296,21/09/16 18:35:52.0,69.342,,,,
297,21/09/16 18:36:19.0,69.596,,,,
298,21/09/16 18:36:48.0,69.85,,,,
299,21/09/16 18:37:29.0,70.104,,,,
300,21/09/16 18:38:38.0,70.358,,,,
301,21/09/16 18:40:22.0,70.612,,,,
302,21/09/16 18:41:40.0,70.866,,,,
303,21/09/16 18:42:29.0,71.12,,,,
304,21/09/16 18:43:28.0,71.374,,,,
305,21/09/16 18:44:48.0,71.628,,,,
306,21/09/16 18:46:14.0,71.882,,,,
307,21/09/16 18:47:33.0,72.136,,,,
308,21/09/16 18:48:44.0,72.39,,,,
309,21/09/16 18:50:18.0,72.644,,,,
310,21/09/16 18:52:38.0,72.898,,,,
311,21/09/16 18:54:57.0,73.152,,,,
312,21/09/16 18:57:03.0,73.406,,,,
313,21/09/16 18:59:33.0,73.66,,,,
314,21/09/16 19:01:48.0,73.914,,,,
315,21/09/16 19:03:55.0,74.168,,,,
316,21/09/16 19:05:47.0,74.422,,,,
317,21/09/16 19:08:53.0,74.676,,,,
318,21/09/16 19:12:41.0,74.93,,,,
319,21/09/16 19:14:51.0,75.184,,,,
320,21/09/16 19:17:24.0,75.438,,,,
321,21/09/16 19:20:40.0,75.692,,,,
322,21/09/16 19:29:35.0,75.946,,,,
323,21/09/16 19:49:30.0,76.2,,,,
324,21/09/16 19:53:15.0,76.454,,,,
325,21/09/16 19:56:17.0,76.708,,,,
326,21/09/16 19:59:38.0,76.962,,,,
327,21/09/16 20:04:12.0,77.216,,,,
328,21/09/16 20:10:25.0,77.47,,,,
329,21/09/16 20:31:21.0,77.724,,,,
330,21/09/16 20:36:38.0,77.978,,,,
331,21/09/16 20:41:01.0,78.232,,,,
332,21/09/16 20:44:12.0,78.486,,,,
333,21/09/16 20:47:54.0,78.74,,,,
334,21/09/16 20:52:10.0,78.994,,,,
335,21/09/16 21:05:36.0,79.248,,,,
336,21/09/16 22:09:13.0,79.502,,,,
337,21/09/16 22:17:35.0,79.756,,,,
338,21/09/16 22:35:34.0,80.01,,,,
339,21/09/17 00:22:42.0,80.264,,,,
340,21/09/17 00:37:51.0,80.518,,,,
341,21/09/17 14:32:56.0,80.772,,,,
342,21/09/28 23:31:37.0,81.026,,,,
343,21/09/29 00:06:03.0,81.28,,,,
344,21/09/30 03:10:38.0,81.534,,,,
345,21/09/30 03:13:08.0,81.788,,,,
346,21/09/30 03:14:45.0,82.042,,,,
347,21/09/30 03:16:13.0,82.296,,,,
348,21/09/30 03:18:06.0,82.55,,,,
349,21/09/30 03:20:56.0,82.804,,,,
350,21/09/30 03:24:59.0,83.058,,,,
351,21/09/30 03:33:46.0,83.312,,,,
352,21/10/02 03:01:11.0,83.566,,,,
353,21/10/02 04:17:38.0,83.82,,,,
354,21/10/02 04:37:15.0,84.074,,,,
355,21/10/02 04:44:06.0,84.328,,,,
356,21/10/02 04:55:26.0,84.582,,,,
357,21/10/02 05:03:54.0,84.836,,,,
358,21/10/02 07:23:32.0,85.09,,,,
359,21/10/02 07:30:02.0,85.344,,,,
360,21/10/02 07:32:10.0,85.598,,,,
361,21/10/02 07:33:08.0,85.852,,,,
362,21/10/02 07:34:15.0,86.106,,,,
363,21/10/02 07:35:06.0,86.36,,,,
364,21/10/02 07:36:07.0,86.614,,,,
365,21/10/02 07:37:19.0,86.868,,,,
366,21/10/02 07:38:17.0,87.122,,,,
367,21/10/02 07:39:22.0,87.376,,,,
368,21/10/02 07:40:31.0,87.63,,,,
369,21/10/02 07:41:39.0,87.884,,,,
370,21/10/02 07:43:23.0,88.138,,,,
371,21/10/02 07:48:09.0,88.392,,,,
372,21/10/02 08:11:01.0,88.646,,,,
373,21/10/02 08:16:51.0,88.9,,,,
374,21/10/02 08:25:44.0,89.154,,,,
375,21/10/02 08:31:17.0,89.408,,,,
376,21/10/02 14:59:45.0,89.662,,,,
