"Plot Title: Manz. Office"
"#","Date Time, GMT+02:00","Rainfall, mm (LGR S/N: 20112199, SEN S/N: 20112199)","Coupler Detached (LGR S/N: 20112199)","Coupler Attached (LGR S/N: 20112199)","Host Connected (LGR S/N: 20112199)","End Of File (LGR S/N: 20112199)","Coupler Detached (LGR S/N: 20112167)","Coupler Attached (LGR S/N: 20112167)","Host Connected (LGR S/N: 20112167)","End Of File (LGR S/N: 20112167)"
217,21/03/26 01:26:45 AM,53.594,,,,,,,,
218,21/03/26 01:27:54 AM,53.848,,,,,,,,
219,21/03/26 01:28:57 AM,54.102,,,,,,,,
220,21/03/26 01:30:18 AM,54.356,,,,,,,,
221,21/03/26 01:32:56 AM,54.610,,,,,,,,
222,21/03/26 01:34:43 AM,54.864,,,,,,,,
223,21/03/26 01:37:48 AM,55.118,,,,,,,,
224,21/03/26 01:40:31 AM,55.372,,,,,,,,
225,21/03/26 01:43:27 AM,55.626,,,,,,,,
226,21/03/26 01:46:54 AM,55.880,,,,,,,,
227,21/03/26 01:48:52 AM,56.134,,,,,,,,
228,21/03/26 01:49:36 AM,56.388,,,,,,,,
229,21/03/26 01:50:21 AM,56.642,,,,,,,,
230,21/03/26 01:50:49 AM,56.896,,,,,,,,
231,21/03/26 01:51:21 AM,57.150,,,,,,,,
232,21/03/26 01:52:03 AM,57.404,,,,,,,,
233,21/03/26 01:52:59 AM,57.658,,,,,,,,
234,21/03/26 01:54:22 AM,57.912,,,,,,,,
235,21/03/26 01:56:13 AM,58.166,,,,,,,,
236,21/03/26 01:58:06 AM,58.420,,,,,,,,
237,21/03/26 02:00:48 AM,58.674,,,,,,,,
238,21/03/26 02:02:49 AM,58.928,,,,,,,,
239,21/03/26 02:05:26 AM,59.182,,,,,,,,
240,21/03/26 02:08:04 AM,59.436,,,,,,,,
241,21/03/26 02:09:00 AM,59.690,,,,,,,,
242,21/03/26 02:09:24 AM,59.944,,,,,,,,
243,21/03/26 02:10:00 AM,60.198,,,,,,,,
244,21/03/26 02:10:38 AM,60.452,,,,,,,,
245,21/03/26 02:11:16 AM,60.706,,,,,,,,
246,21/03/26 02:12:17 AM,60.960,,,,,,,,
247,21/03/26 02:13:08 AM,61.214,,,,,,,,
248,21/03/26 02:13:45 AM,61.468,,,,,,,,
249,21/03/26 02:15:32 AM,61.722,,,,,,,,
250,21/03/26 02:16:26 AM,61.976,,,,,,,,
251,21/03/26 02:17:30 AM,62.230,,,,,,,,
252,21/03/26 02:18:38 AM,62.484,,,,,,,,
253,21/03/26 02:19:21 AM,62.738,,,,,,,,
254,21/03/26 02:19:47 AM,62.992,,,,,,,,
255,21/03/26 02:20:26 AM,63.246,,,,,,,,
256,21/03/26 02:21:19 AM,63.500,,,,,,,,
257,21/03/26 02:21:50 AM,63.754,,,,,,,,
258,21/03/26 02:22:18 AM,64.008,,,,,,,,
259,21/03/26 02:22:50 AM,64.262,,,,,,,,
260,21/03/26 02:23:13 AM,64.516,,,,,,,,
261,21/03/26 02:23:46 AM,64.770,,,,,,,,
262,21/03/26 02:24:31 AM,65.024,,,,,,,,
263,21/03/26 02:25:14 AM,65.278,,,,,,,,
264,21/03/26 02:26:00 AM,65.532,,,,,,,,
265,21/03/26 02:27:11 AM,65.786,,,,,,,,
266,21/03/26 02:28:18 AM,66.040,,,,,,,,
267,21/03/26 02:29:49 AM,66.294,,,,,,,,
268,21/03/26 02:30:59 AM,66.548,,,,,,,,
269,21/03/26 02:31:46 AM,66.802,,,,,,,,
270,21/03/26 02:32:18 AM,67.056,,,,,,,,
271,21/03/26 02:32:49 AM,67.310,,,,,,,,
272,21/03/26 02:33:24 AM,67.564,,,,,,,,
273,21/03/26 02:34:27 AM,67.818,,,,,,,,
274,21/03/26 02:36:01 AM,68.072,,,,,,,,
275,21/03/26 02:38:18 AM,68.326,,,,,,,,
276,21/03/26 03:46:19 AM,68.580,,,,,,,,
277,21/03/27 07:28:03 PM,68.834,,,,,,,,
278,21/03/27 07:28:24 PM,69.088,,,,,,,,
279,21/03/27 07:28:37 PM,69.342,,,,,,,,
280,21/03/27 07:28:47 PM,69.596,,,,,,,,
281,21/03/27 07:28:58 PM,69.850,,,,,,,,
282,21/03/27 07:29:12 PM,70.104,,,,,,,,
283,21/03/27 07:29:25 PM,70.358,,,,,,,,
284,21/03/27 07:29:42 PM,70.612,,,,,,,,
285,21/03/27 07:30:11 PM,70.866,,,,,,,,
286,21/03/27 07:30:30 PM,71.120,,,,,,,,
287,21/03/27 07:30:40 PM,71.374,,,,,,,,
288,21/03/27 07:30:48 PM,71.628,,,,,,,,
289,21/03/27 07:30:57 PM,71.882,,,,,,,,
290,21/03/27 07:31:06 PM,72.136,,,,,,,,
291,21/03/27 07:31:26 PM,72.390,,,,,,,,
292,21/03/27 07:31:38 PM,72.644,,,,,,,,
293,21/03/27 07:31:50 PM,72.898,,,,,,,,
294,21/03/27 07:32:02 PM,73.152,,,,,,,,
295,21/03/27 07:32:11 PM,73.406,,,,,,,,
296,21/03/27 07:32:19 PM,73.660,,,,,,,,
297,21/03/27 07:32:26 PM,73.914,,,,,,,,
298,21/03/27 07:32:43 PM,74.168,,,,,,,,
299,21/03/27 07:37:57 PM,74.422,,,,,,,,
300,21/03/27 07:38:12 PM,74.676,,,,,,,,
301,21/03/27 07:39:08 PM,74.930,,,,,,,,
302,21/03/27 10:15:12 PM,75.184,,,,,,,,
303,21/03/27 10:26:57 PM,75.438,,,,,,,,
304,21/03/27 10:32:12 PM,75.692,,,,,,,,
305,21/03/28 05:06:33 PM,75.946,,,,,,,,
306,21/03/28 05:10:07 PM,76.200,,,,,,,,
307,21/03/28 05:12:34 PM,76.454,,,,,,,,
308,21/03/28 05:14:56 PM,76.708,,,,,,,,
309,21/03/28 05:23:04 PM,76.962,,,,,,,,
310,21/03/28 05:34:44 PM,77.216,,,,,,,,
311,21/03/28 05:37:38 PM,77.470,,,,,,,,
312,21/03/28 05:39:19 PM,77.724,,,,,,,,
313,21/03/28 05:40:42 PM,77.978,,,,,,,,
314,21/03/28 05:41:29 PM,78.232,,,,,,,,
315,21/03/28 05:42:03 PM,78.486,,,,,,,,
316,21/03/28 05:43:17 PM,78.740,,,,,,,,
317,21/03/28 05:50:06 PM,78.994,,,,,,,,
318,21/03/28 05:55:52 PM,79.248,,,,,,,,
319,21/03/28 05:56:15 PM,79.502,,,,,,,,
320,21/03/28 05:56:37 PM,79.756,,,,,,,,
321,21/03/28 05:56:57 PM,80.010,,,,,,,,
322,21/03/28 05:57:16 PM,80.264,,,,,,,,
323,21/03/28 05:57:29 PM,80.518,,,,,,,,
324,21/03/28 05:57:42 PM,80.772,,,,,,,,
325,21/03/28 05:57:59 PM,81.026,,,,,,,,
326,21/03/28 05:58:25 PM,81.280,,,,,,,,
327,21/03/28 05:59:45 PM,81.534,,,,,,,,
328,21/03/28 06:08:14 PM,81.788,,,,,,,,
329,21/03/28 06:09:16 PM,82.042,,,,,,,,
330,21/03/28 06:11:31 PM,82.296,,,,,,,,
331,21/03/28 06:12:23 PM,82.550,,,,,,,,
332,21/03/28 06:14:40 PM,82.804,,,,,,,,
333,21/03/28 06:15:59 PM,83.058,,,,,,,,
334,21/03/28 06:16:45 PM,83.312,,,,,,,,
335,21/03/28 06:17:48 PM,83.566,,,,,,,,
336,21/03/28 06:18:57 PM,83.820,,,,,,,,
337,21/03/28 06:24:12 PM,84.074,,,,,,,,
338,21/03/28 06:24:53 PM,84.328,,,,,,,,
339,21/03/28 06:29:53 PM,84.582,,,,,,,,
