# Citation link: https://doi.org/10.15493/OBS.MONITOR.39744624?referrer=observationmonitor.saeon.ac.za
# Data for daily on Ezibomvini AWS
Timestamp,humid_rel_max,humid_rel_min,rad_short_in_avg,rad_short_in_max,rad_short_in_tot,rain_tot,temp_air_avg,temp_air_max,temp_air_min,temp_dew_point_avg,temp_dew_point_max,temp_dew_point_min,wind_dir_avg,wind_speed_avg,wind_speed_max,wind_speed_min,Latitude,Longitude
,pcnt,pcnt,w_per_m2,w_per_m2,mj_per_m2,mm,deg_c,deg_c,deg_c,deg_c,deg_c,deg_c,deg,m_per_sec,m_per_sec,m_per_sec,,
2023-06-22T00:00:00,98.4,38.1,124.8277,751.5366,10.77575,0,11.13,19.71,4.571,5.488,8.69,2.7,109.5,0.932,5.1,0,-28.864360,29.395070
2023-06-23T00:00:00,87.1,43.05,153.1418,614.4507,13.23145,0,9.22,15.75,4.302,2.977,5.241,0.891,109.9,0.893,8.97,0,-28.864360,29.395070
2023-06-24T00:00:00,97,38.29,152.3228,609.6559,13.16053,0,10.86,20.27,2.577,5.217,7.325,1.563,110.6,0.887,4.85,0,-28.864360,29.395070
2023-06-25T00:00:00,86.4,27.59,151.7843,610.2151,13.11356,0,13.86,24.33,5.276,4.677,8.79,0.532,107.7,1.124,5.12,0,-28.864360,29.395070
2023-06-26T00:00:00,77.44,25.12,148.0448,596.5662,12.79048,0,14.25,23.54,6.646,3.779,6.651,1.21,130.4,0.886,4.98,0,-28.864360,29.395070
2023-06-27T00:00:00,94.8,16.9,151.2702,610.7589,13.06929,0,13.7,24.01,5.656,4.289,8.08,-3.064,104,0.923,5.83,0,-28.864360,29.395070
2023-06-28T00:00:00,88.6,42.37,131.9897,581.3549,11.40351,0,12.49,18.73,6.999,6.741,9,4.11,122.4,0.846,6.12,0,-28.864360,29.395070
2023-06-29T00:00:00,98.1,71.65,57.05276,697.9522,4.929244,1.016,11.1,15.38,7.634,9.12,11.32,6.876,121.3,0.87,3.59,0,-28.864360,29.395070
2023-06-30T00:00:00,98.8,19.36,163.6385,646.0759,14.1382,0,12.26,21.6,4.937,1.672,8.39,-2.938,272.3,1.714,12.11,0,-28.864360,29.395070
2023-07-01T00:00:00,80.4,27.95,162.6202,648.7566,14.05022,0,10.63,19.51,1.76,-0.197,2.741,-2.658,109.3,1.113,4.95,0.01,-28.864360,29.395070
2023-07-02T00:00:00,73.37,16.41,163.1382,648.4656,14.09498,0,11.96,21.36,3.821,-0.791,3.14,-5.726,102.6,0.812,4.05,0,-28.864360,29.395070
2023-07-03T00:00:00,62.38,20.53,165.6679,650.7863,14.31371,0,12.91,22.03,4.417,-0.562,2.589,-2.788,95.7,0.95,5.36,0,-28.864360,29.395070
2023-07-04T00:00:00,69.51,19.83,161.1043,636.6243,13.91925,0,13.6,24.15,5.487,1.83,5.059,-2.084,85.3,0.874,4.96,0,-28.864360,29.395070
2023-07-05T00:00:00,69.61,14.28,155.5447,634.7095,13.43906,0,13.46,22.01,5.941,-0.127,4.375,-6.628,98.6,0.886,4.82,0,-28.864360,29.395070
2023-07-06T00:00:00,94.4,40.95,145.0087,612.5436,12.52846,0,10.35,17.53,3.976,4.703,7.523,-0.801,101.4,1.129,5.49,0,-28.864360,29.395070
2023-07-07T00:00:00,94.6,37.5,153.3196,626.514,13.24666,0,11.54,19.34,5.827,5.827,7.571,4.218,88,0.922,5.43,0.01,-28.864360,29.395070
2023-07-08T00:00:00,90.5,17.7,149.8996,656.8831,12.95072,0,13.89,25.48,4.641,2.996,8.24,-1.012,203.5,1.234,8.02,0,-28.864360,29.395070
2023-07-09T00:00:00,59.21,16.62,160.3086,649.2086,13.85066,0,15.74,24.47,7.453,-0.934,2.721,-3.245,184.2,1.693,10.5,0.01,-28.864360,29.395070
2023-07-10T00:00:00,76.26,34.54,132.7731,744.5972,11.47106,0,10.1,18.56,3.327,2.341,8.95,-2.184,85,1.583,10.71,0,-28.864360,29.395070
2023-07-11T00:00:00,87.4,29.68,143.3902,825.9847,12.38877,0,6.608,14.87,0.133,-1.326,0.798,-3.533,149.6,1.717,12.51,0,-28.864360,29.395070
2023-07-12T00:00:00,89.2,30.52,165.9099,659.112,14.33428,0,7.318,15.64,-0.442,-0.198,2.103,-2.813,140.1,1,5.38,0,-28.864360,29.395070
2023-07-13T00:00:00,89,29.58,164.2168,649.3387,14.18817,0,9.81,18.66,2.708,1.465,4.331,-0.235,79.29,0.884,4.72,0,-28.864360,29.395070
2023-07-14T00:00:00,79.44,26.2,162.9751,641.2429,14.08105,0,11.03,19.25,4.019,1.44,5.656,-1.363,79.84,0.972,6.18,0,-28.864360,29.395070
