"Plot Title: Manz office"
"#","Date Time, GMT+02:00","Event, mm (LGR S/N: 20112198, SEN S/N: 20112198, LBL: Rainfall)","Coupler Detached (LGR S/N: 20112198)","Coupler Attached (LGR S/N: 20112198)","Host Connected (LGR S/N: 20112198)","Stopped (LGR S/N: 20112198)","End Of File (LGR S/N: 20112198)"
230,18/12/08 05:52:40 PM,55.880,,,,,
231,18/12/08 05:54:56 PM,56.134,,,,,
232,18/12/08 05:56:37 PM,56.388,,,,,
233,18/12/08 05:58:32 PM,56.642,,,,,
234,18/12/08 05:59:21 PM,56.896,,,,,
235,18/12/08 06:00:26 PM,57.150,,,,,
236,18/12/08 06:01:24 PM,57.404,,,,,
237,18/12/08 06:02:15 PM,57.658,,,,,
238,18/12/08 06:02:58 PM,57.912,,,,,
239,18/12/08 06:03:42 PM,58.166,,,,,
240,18/12/08 06:04:09 PM,58.420,,,,,
241,18/12/08 06:04:45 PM,58.674,,,,,
242,18/12/08 06:05:20 PM,58.928,,,,,
243,18/12/08 06:05:47 PM,59.182,,,,,
244,18/12/08 06:06:11 PM,59.436,,,,,
245,18/12/08 06:06:38 PM,59.690,,,,,
246,18/12/08 06:07:00 PM,59.944,,,,,
247,18/12/08 06:07:25 PM,60.198,,,,,
248,18/12/08 06:07:42 PM,60.452,,,,,
249,18/12/08 06:08:07 PM,60.706,,,,,
250,18/12/08 06:08:24 PM,60.960,,,,,
251,18/12/08 06:08:45 PM,61.214,,,,,
252,18/12/08 06:08:56 PM,61.468,,,,,
253,18/12/08 06:09:10 PM,61.722,,,,,
254,18/12/08 06:09:24 PM,61.976,,,,,
255,18/12/08 06:09:45 PM,62.230,,,,,
256,18/12/08 06:10:03 PM,62.484,,,,,
257,18/12/08 06:10:28 PM,62.738,,,,,
258,18/12/08 06:10:44 PM,62.992,,,,,
259,18/12/08 06:11:04 PM,63.246,,,,,
260,18/12/08 06:11:21 PM,63.500,,,,,
261,18/12/08 06:11:42 PM,63.754,,,,,
262,18/12/08 06:11:58 PM,64.008,,,,,
263,18/12/08 06:12:16 PM,64.262,,,,,
264,18/12/08 06:12:31 PM,64.516,,,,,
265,18/12/08 06:12:50 PM,64.770,,,,,
266,18/12/08 06:13:06 PM,65.024,,,,,
267,18/12/08 06:13:22 PM,65.278,,,,,
268,18/12/08 06:13:34 PM,65.532,,,,,
269,18/12/08 06:13:51 PM,65.786,,,,,
270,18/12/08 06:14:03 PM,66.040,,,,,
271,18/12/08 06:14:19 PM,66.294,,,,,
272,18/12/08 06:14:32 PM,66.548,,,,,
273,18/12/08 06:14:48 PM,66.802,,,,,
274,18/12/08 06:14:58 PM,67.056,,,,,
275,18/12/08 06:15:08 PM,67.310,,,,,
276,18/12/08 06:15:15 PM,67.564,,,,,
277,18/12/08 06:15:25 PM,67.818,,,,,
278,18/12/08 06:15:33 PM,68.072,,,,,
279,18/12/08 06:15:44 PM,68.326,,,,,
280,18/12/08 06:15:53 PM,68.580,,,,,
281,18/12/08 06:16:04 PM,68.834,,,,,
282,18/12/08 06:16:13 PM,69.088,,,,,
283,18/12/08 06:16:24 PM,69.342,,,,,
284,18/12/08 06:16:33 PM,69.596,,,,,
285,18/12/08 06:16:43 PM,69.850,,,,,
286,18/12/08 06:16:51 PM,70.104,,,,,
287,18/12/08 06:17:01 PM,70.358,,,,,
288,18/12/08 06:17:10 PM,70.612,,,,,
289,18/12/08 06:17:22 PM,70.866,,,,,
290,18/12/08 06:17:34 PM,71.120,,,,,
291,18/12/08 06:17:49 PM,71.374,,,,,
292,18/12/08 06:17:59 PM,71.628,,,,,
293,18/12/08 06:18:13 PM,71.882,,,,,
294,18/12/08 06:18:27 PM,72.136,,,,,
295,18/12/08 06:18:44 PM,72.390,,,,,
296,18/12/08 06:18:57 PM,72.644,,,,,
297,18/12/08 06:19:12 PM,72.898,,,,,
298,18/12/08 06:19:25 PM,73.152,,,,,
299,18/12/08 06:19:43 PM,73.406,,,,,
300,18/12/08 06:19:56 PM,73.660,,,,,
301,18/12/08 06:20:13 PM,73.914,,,,,
302,18/12/08 06:20:30 PM,74.168,,,,,
303,18/12/08 06:20:31 PM,74.422,,,,,
304,18/12/08 06:20:52 PM,74.676,,,,,
305,18/12/08 06:21:09 PM,74.930,,,,,
306,18/12/08 06:21:32 PM,75.184,,,,,
307,18/12/08 06:21:49 PM,75.438,,,,,
308,18/12/08 06:22:11 PM,75.692,,,,,
309,18/12/08 06:22:32 PM,75.946,,,,,
310,18/12/08 06:23:03 PM,76.200,,,,,
311,18/12/08 06:23:30 PM,76.454,,,,,
312,18/12/08 06:23:51 PM,76.708,,,,,
313,18/12/08 06:24:06 PM,76.962,,,,,
314,18/12/08 06:24:27 PM,77.216,,,,,
315,18/12/08 06:24:38 PM,77.470,,,,,
316,18/12/08 06:24:53 PM,77.724,,,,,
317,18/12/08 06:25:04 PM,77.978,,,,,
318,18/12/08 06:25:21 PM,78.232,,,,,
319,18/12/08 06:25:37 PM,78.486,,,,,
320,18/12/08 06:25:57 PM,78.740,,,,,
321,18/12/08 06:26:15 PM,78.994,,,,,
322,18/12/08 06:26:40 PM,79.248,,,,,
323,18/12/08 06:27:02 PM,79.502,,,,,
324,18/12/08 06:27:25 PM,79.756,,,,,
325,18/12/08 06:27:45 PM,80.010,,,,,
326,18/12/08 06:28:10 PM,80.264,,,,,
327,18/12/08 06:28:36 PM,80.518,,,,,
328,18/12/08 06:29:15 PM,80.772,,,,,
329,18/12/08 06:29:51 PM,81.026,,,,,
330,18/12/08 06:30:35 PM,81.280,,,,,
331,18/12/08 06:31:19 PM,81.534,,,,,
332,18/12/08 06:32:16 PM,81.788,,,,,
333,18/12/08 06:33:28 PM,82.042,,,,,
334,18/12/08 06:34:36 PM,82.296,,,,,
335,18/12/08 06:35:34 PM,82.550,,,,,
336,18/12/08 06:36:43 PM,82.804,,,,,
337,18/12/08 06:37:31 PM,83.058,,,,,
338,18/12/08 06:38:53 PM,83.312,,,,,
339,18/12/08 06:40:06 PM,83.566,,,,,
340,18/12/08 06:41:41 PM,83.820,,,,,
